stem,intermediate,terminal
HSC_MPP,MEMP,MK
HSC_MPP,MEMP,Early_Ery
HSC_MPP,MEMP,Mid_Ery
HSC_MPP,MEMP,Late_Ery
HSC_MPP,MEMP,Ery_prog
HSC_MPP,MEMP,HBE+_embryonic_Ery
HSC_MPP,MEMP,BaEoMa
HSC_MPP,CLP,Pro_B
HSC_MPP,CLP,Cycling_Pro_B
HSC_MPP,CLP,Large_Pre_B
HSC_MPP,CLP,Small_Pre_B
HSC_MPP,CLP,Immature_B
HSC_MPP,CLP,Mature_B
HSC_MPP,CLP,pDC
HSC_MPP,GMP,DC_pre
HSC_MPP,GMP,Mono_Pre
HSC_MPP,GMP,Macrophage
HSC_MPP,GMP,pDC
HSC_MPP,GMP,CD14_Mono
HSC_MPP,GMP,CD16_Mono
HSC_MPP,GMP,cDC1
HSC_MPP,GMP,cDC2
